CASEQUANTITY,CASEDATE,DISTRICTNAME,VDCMCP,Location,Batch,Observations,Coder 
15,2005-12-01,Doti,"Kadamandau, Sanagaun, Gajari","Kadamandau, Sanagaun and Gajari VDCs",3,,MC
400,2005-12-20,Baglung,,"Tarakhola, Pandav and Adhikari Chowk",4,,MC
1000,2005-12-31,Rukum,,"Rukumkot, Sobha, Mahat and Chunwang",4,Unknown kidnapping date. Date of release listed,MC
35,2006-01-17,Tanahun,,Rupakot,4,,MC
50,2006-01-19,Dhankuta,,Basantatar,4,,MC
50,2006-01-21,Ramechhap,,Prakarbas,4,,MC
7,2005-12-26,Sankhuwas bha,,Luhakot,4,,MC
36,2006-01-31,Palpa,,Tansen,4,officials and police kidnapped,MC
15,2006-02-02,Nuwakot,,Nuum,4,,MC
60,2006-01-31,Ramchhap,,Salupaate,4,,MC
12,2006-02-07,Dhankuta,,Dhankuta,4,officials,MC
151,2006-02-10,Rukum,,Kotjahari,4,,MC
12,2006-02-08,Nawalparasi,,Sunwal on Sunwal-Butawal hwy,4,Date unclear (“last week”). Security forces,MC
25,2006-02-13,Kailali,,Dhangadhi,4,2 policemen,MC
5,2006-02-14,Ramchhap,,,4,,MC
4,2006-02-14,Salyan,,Kajeri,4,,MC
20,2006-02-20,Doti,,,4,Date unclear (“recently”). Release reported. 2 officials included in tally,MC
15,2006-02-24,Nuwakot,Urleni,“Ward 7”,4,,MC
28,2006-02-21,Dhading,,,4,,MC
150,2006-02-26,Dhading,,"Dhuwakot, Katunje, Budathum, Baseri and Mulpani",4,,MC
26,2006-02-26,Dhading,,Khalte,4,,MC
52,2006-02-27,Bajura,,Panchakanya,4,,MC
70,2006-02-27,Bajura,,Kolti,4,,MC
10,2006-02-27,Dhading,,Mulpani,4,"unclear number, unclear if event same as above",MC
5,2006-02-27,Kailali,,Trinagar border post and police beat,4,,MC
5,2006-03-04,Ramchhap,,Thosebazar,4,unclear number,MC
6,2006-03-05,Kavrepalachowk,,"Chyamrangbesi, Milche, Bal Bikas, Mahadevsthan",4,,MC
24,2006-03-05,Ramchhap,,"Hiledevi, Rakathum, Bethan and Majhuwa",4,"unclear number, “dozens”",MC
300,2006-02-26,"Ramechhap, Sindhuli, Sindhupalchowk and Dolakha",,various,4,,MC
300,2006-03-07,Okaldhunga,,"Chyanama, Parapcha, Katunje, Mulkharka, Phediguth, Kalika, Balkhu, Sisneri, Ghorakhori, Yasam, Gamnangtar, Palapu and Pokali.",4,,MC
11,2006-03-09,Palpa,Chandibhanjyang,,4,communist party members,MC
1500,2006-03-09,Rukum,"Jhula, Magma and Baphikot",,4,,MC
11,2006-03-14,Butawal,,“various”,4,,MC
4,2006-03-23,Solukhumbu,,Namboche,4,Polish tourists; over 50 articles,MC
9,2006-03-29,Dadeldhura,,"Kailpalmandu,Ganeshpur",4,,MC
6,2006-03-30,Kanchanpur,Krishnapur,Mahendranagar-Dhangadhi Highway,4,,MC
50,2006-03-31,Kaski,,"Jogimure, Armala, Lamachaur",4,,MC
13,2006-04-03,Ilam,,Dhappartar section of Mechi Highway at Chamaita,4,13 passengers in a taxi including officials and party leaders. 11 released same day,MC
250,2006-04-04,Rolpa,,,4,,MC
5,2006-04-10,Doti,,near Dipayal,4,German aid workers,MC
20,2006-04-05,Sarlahi,,Malangawa,4,reported on 20 APR via BBC,MC
11,2006-04-27,Dhankuta,Leguwaghat,Ramdittha Bazaar,4,soldiers,MC
5,2006-05-09,Nawalparasi,Ramnagar,Bhumahi,4,policemen,MC
5,2006-05-07,Mugu,,Gamgadhi Bazaar,4,,MC
5,2006-05-10,Nawalparasi,,Bardighat,4,,MC
5,2006-05-11,Mugu,,Gamgadhi Bazaar,4,duplicate from 7/5?,MC
13,2006-05-16,Udayapur,Panchabati,Bhatuwa,4,,MC
6,2006-05-17,Surkhet,,Kalapani,4,,MC
5,2006-05-22,Kailali,,Dhangadhi,4,+3 abducted in 2 other locations,MC
40,2006-05-31,Ramchhap,,Bhatauli,4,,MC
6,2006-04-15,Mahottari,,Khuta Piparhdai,4,"unknown date, 1.5 months before june 2006",MC
150,2006-06-05,Ramchhap,,"Bhatauli, Pakarbas, Pinkhuri and Gagal",4,,MC
5,2006-06-16,Jhapa,,,4,,MC
6,2006-06-16,Sunsari,Dumraha,Kalijhadi,4,,MC
7,2006-06-17,Bara,,Bhaluwahikhor,4,,MC
32,2006-07-03,Jhapa,,Durgapur,4,"unknown date, this is the date of release.",MC
5,2006-07-04,Dhanusha,,Sattosar,4,unclear if single incident,MC
6,2006-03-15,Ilam,,“northern village”,4,unknown date in March; report on them still being under Maoist control.,MC
5,2006-09-06,Rolpa,,Jankot,4,,MC
7,2006-09-07,Sunsari,,Bishnupaduka,4,,MC
5,2006-09-12,Jhapa,,"Garamuni,",4,,MC
12,2006-08-25,Dolakha,,Chhemawati,4,date unclear (“one month ago”),MC
15,2006-09-16,Bhojpur,,,4,,MC
10,2006-09-22,Kalikot,Kotwada-3,,4,,MC
10,2006-10-02,,,,4,location not specified,MC
30,2006-10-09,Taplejung,Khewang,,4,,MC
7,2006-10-19,Kathmandu,,Budhanilkantha,4,Nepali Congress party cadre,MC
9,2006-10-19,Kathmandu,,Balkhu,4,,MC
6,2006-10-27,Kathmandu,,Kathmandu,4,,MC
6,2006-10-28,Kalikot,,Nelmudi,4,NC Party members. Unclear translation ,MC
27,2006-11-15,Bhojpur,Khatamba,Jalpa,4,,MC
24,2006-11-15,Bhojpur,Chaukedada,,4,,MC
50,2006-11-12,Bhojpur,Hasanpur,,4,,MC
18,2006-11-16,Dhading,Chhatre-Deurali,Dasrathchand,4,recruitment,MC
12,2006-11-16,Dhading,Chemzong,,4,"unclear date, “already” on 16/11. Forced recruitment.",MC
17,2006-11-16,Dhading,,Chautara,4,recruitment,MC
33,2006-11-16,Dhading,,,4,summary (over 70 in the past days) in Dhading,MC
500,2006-11-18,Banke,,,4,,MC
36,2006-11-18,Rautahat,,Chandranigahpur,4,"unclear date, this is their release date",MC
11,2006-11-22,Chitwan,,"Ratnagar, Madi, Darechok",4,recruitment,MC
13,2006-12-13,Panchthar,,"Kurumba, Limba",4,,MC
